Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760618678,0,17644,61448,0.0,17.23,60.01
1760618679,1,602104,6213592,168,587.99,6067.96
1760618680,2,1156592,6918104,336,1129.48,6755.96
1760618680,2,1727944,7419864,250,1687.45,7245.96
1760618681,3,2291124,8140760,333,2237.43,7949.96
1760618681,3,2854776,8599512,277,2787.87,8397.96
1760618682,4,3417068,9123800,332,3336.98,8909.96
1760618682,4,3985832,9779160,290,3892.41,9549.96
1760618683,5,4456184,10565592,327,4351.74,10317.96
1760618683,5,4734748,11024344,283,4623.78,10765.96
1760618684,6,5021268,11024344,305,4903.58,10765.96
1760618685,7,5307528,11560920,273,5183.13,11289.96
1760618685,7,5591868,11560920,249,5460.81,11289.96
1760618686,8,5875280,12216280,265,5737.58,11929.96
1760618686,8,6160636,12220132,246,6016.25,11933.72
1760618687,9,6446612,13019648,259,6295.52,12714.50
1760618687,9,6736956,13022216,243,6579.06,12717.01
1760618688,10,7025880,13022216,255,6861.21,12717.01
1760618688,10,7314240,13939720,240,7142.81,13613.01
1760618689,11,7605856,13939720,251,7427.59,13613.01
1760618689,11,7890132,13939720,239,7705.21,13613.01
1760618690,12,8174016,14988296,228,7982.44,14637.01
1760618691,13,8470568,14988296,237,8272.04,14637.01
1760618691,13,8761048,14988296,228,8555.71,14637.01
1760618692,14,9046964,14988296,236,8834.93,14637.01
1760618692,14,9332512,16299016,227,9113.78,15917.01
1760618693,15,9619172,16299016,235,9393.72,15917.01
1760618693,15,9899004,16299016,226,9667.00,15917.01
1760618694,16,10188896,16304140,234,9950.09,15922.01
1760618694,16,10480732,17902864,226,10235.09,17483.27
1760618695,17,10774128,17907988,219,10521.61,17488.27
1760618696,18,11066928,17911832,226,10807.55,17492.02
1760618696,18,11361284,17911832,219,11095.00,17492.02
1760618697,19,11656120,17911832,225,11382.93,17492.02
1760618697,19,11946020,17911832,219,11666.04,17492.02
1760618698,20,12238088,19746840,225,11951.26,19284.02
1760618698,20,12523932,19746840,219,12230.40,19284.02
1760618699,21,12813620,19746840,225,12513.30,19284.02
1760618699,21,13102268,19746840,219,12795.18,19284.02
1760618700,22,13396032,19746840,224,13082.06,19284.02
1760618700,22,13879624,27088920,219,13554.32,26454.02
1760618701,23,15249560,27088920,214,14892.15,26454.02
1760618702,24,16730316,27088920,219,16338.20,26454.02
1760618702,24,18296580,27088920,215,17867.75,26454.02
1760618703,25,19838796,35493912,219,19373.82,34662.02
1760618703,25,20308476,35493912,215,19832.50,34662.02
1760618704,26,20815296,35493912,219,20327.44,34662.02
1760618704,26,21277164,35493912,215,20778.48,34662.02
1760618705,27,21776984,35493912,219,21266.59,34662.02
1760618705,27,22234908,35493912,215,21713.78,34662.02
1760618706,28,22737312,35493912,211,22204.41,34662.02
1760618707,29,14426772,66951188,223,14088.64,65382.02
1760618707,29,30417084,66951188,377,29704.18,65382.02
1760618708,30,30423512,66951188,563,29710.46,65382.02
1760618709,31,30423512,66951188,693,29710.46,65382.02
1760618709,31,30423512,66951188,799,29710.46,65382.02
1760618710,32,30423512,66951188,975,29710.46,65382.02
1760618711,33,30660884,67304980,1040,29942.27,65727.52
1760618711,33,30934904,67527188,1122,30209.87,65944.52
1760618712,34,31215532,67817112,1238,30483.92,66227.65
1760618712,34,31499028,68175512,1327,30760.77,66577.65
1760618713,35,31771908,68413080,1441,31027.25,66809.65
1760618713,35,32039992,68705944,1513,31289.05,67095.65
1760618714,36,32326180,69050008,1627,31568.54,67431.65
1760618715,37,32604592,69295768,1693,31840.42,67671.65
1760618715,37,32875120,69547672,1758,32104.61,67917.65
1760618716,38,33163152,69879580,1864,32385.89,68241.78
1760618716,38,33445488,70207260,1922,32661.61,68561.78
1760618717,39,33734732,70498076,2030,32944.07,68845.78
1760618717,39,34013184,70670108,2082,33216.00,69013.78
1760618718,40,34291984,71083804,2184,33488.27,69417.78
1760618718,40,34562828,71358236,2226,33752.76,69685.78
1760618719,41,34846304,71538460,2272,34029.59,69861.78
1760618720,42,35127012,71940000,2366,34303.72,70253.91
1760618720,42,35408716,72226720,2403,34578.82,70533.91
1760618721,43,35672440,72427424,2496,34836.37,70729.91
1760618721,43,35951672,72591264,2528,35109.05,70889.91
1760618722,44,36272468,73148320,2629,35422.33,71433.91
1760618722,44,36547372,73410596,2660,35690.79,71690.04
1760618723,45,36838520,73508900,2689,35975.12,71786.04
1760618724,46,37112744,73828388,2778,36242.91,72098.04
1760618724,46,37396600,74401828,2803,36520.12,72658.04
1760618725,47,37686172,74606628,2893,36802.90,72858.04
1760618725,47,37857392,74729640,2902,36970.11,72978.16
1760618726,48,32410092,74688616,2910,31650.48,72938.10
1760618726,48,20141928,74688616,2852,19669.85,72938.10
1760618727,49,12178540,74689576,2853,11893.11,72939.04
1760618728,50,11666072,74689560,2816,11392.65,72939.02
1760618728,50,6762872,74689560,2808,6604.37,72939.02
